State,PHN code,PHN area name,Reporting Year,Age group,Number of registered children,Number fully immunised,Number not fully immunised,Number of registered IndigAus  children,Number IndigAus fully immunised,Number IndigAus not fully immunised,Interpret with caution (#),,,,
QLD,PHN301,Brisbane North,2014-15,2 years,"11,835","10,814","1,021",446,399,47,,,,,
QLD,PHN304,Darling Downs and West Moreton,2015-16,1 year,"7,718","7,238",480,772,694,78,,,,,
QLD,PHN304,Darling Downs and West Moreton,2016-17,2 years,"7,825","7,248",577,775,697,78,,,,,
QLD,PHN301,Brisbane North,2014-15,1 year,"12,044","11,153",891,503,454,49,,,,,
QLD,PHN305,Western Queensland,2016-17,2 years,"1,097","1,017",80,339,306,33,,,,,
QLD,PHN302,Brisbane South,2012-13,5 years,"14,938","13,587","1,351",466,421,45,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2012-13,2 years,"9,701","8,892",809,725,656,69,,,,,
QLD,PHN304,Darling Downs and West Moreton,2013-14,2 years,"7,829","7,315",514,657,595,62,,,,,
QLD,PHN303,Gold Coast,2016-17,2 years,"7,304","6,662",642,192,174,18,,,,,
QLD,PHN304,Darling Downs and West Moreton,2012-13,2 years,"7,920","7,357",563,641,581,60,,,,,
QLD,PHN305,Western Queensland,2013-14,5 years,"1,198","1,132",66,356,324,32,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2012-13,5 years,"10,697","9,710",987,624,568,56,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2016-17,1 year,"9,567","8,895",672,836,762,74,,,,,
QLD,PHN303,Gold Coast,2015-16,1 year,"7,124","6,620",504,185,169,16,,,,,
QLD,PHN302,Brisbane South,2012-13,2 years,"14,916","13,737","1,179",515,471,44,,,,,
QLD,PHN307,Northern Queensland,2016-17,1 year,"9,348","8,836",512,"1,980","1,812",168,,,,,
QLD,PHN301,Brisbane North,2012-13,5 years,"12,305","11,317",988,355,326,29,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2013-14,2 years,"9,847","9,113",734,745,685,60,,,,,
QLD,PHN302,Brisbane South,2014-15,5 years,"15,449","14,206","1,243",472,434,38,,,,,
QLD,PHN305,Western Queensland,2016-17,1 year,"1,031",991,40,312,287,25,,,,,
QLD,PHN304,Darling Downs and West Moreton,2015-16,5 years,"8,296","7,795",501,667,615,52,,,,,
QLD,PHN301,Brisbane North,2012-13,2 years,"11,760","10,935",825,378,349,29,,,,,
QLD,PHN302,Brisbane South,2016-17,1 year,"15,052","14,179",873,663,613,50,,,,,
QLD,PHN305,Western Queensland,2012-13,2 years,"1,213","1,150",63,419,388,31,,,,,
QLD,PHN302,Brisbane South,2013-14,5 years,"15,167","13,981","1,186",517,479,38,,,,,
QLD,PHN304,Darling Downs and West Moreton,2013-14,5 years,"8,302","7,739",563,659,611,48,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2013-14,5 years,"10,820","9,907",913,661,613,48,,,,,
QLD,PHN303,Gold Coast,2016-17,1 year,"7,139","6,647",492,198,184,14,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2015-16,5 years,"10,430","9,552",878,750,697,53,,,,,
QLD,PHN304,Darling Downs and West Moreton,2016-17,1 year,"7,831","7,419",412,798,742,56,,,,,
QLD,PHN302,Brisbane South,2013-14,2 years,"14,917","13,877","1,040",545,507,38,,,,,
QLD,PHN301,Brisbane North,2015-16,5 years,"12,418","11,541",877,436,406,30,,,,,
QLD,PHN304,Darling Downs and West Moreton,2012-13,5 years,"8,115","7,544",571,613,571,42,,,,,
QLD,PHN304,Darling Downs and West Moreton,2014-15,5 years,"8,204","7,658",546,664,619,45,,,,,
QLD,PHN305,Western Queensland,2014-15,5 years,"1,116","1,037",79,355,331,24,,,,,
QLD,PHN305,Western Queensland,2015-16,5 years,"1,057",997,60,344,321,23,,,,,
QLD,PHN301,Brisbane North,2016-17,1 year,"11,895","11,334",561,544,508,36,,,,,
QLD,PHN307,Northern Queensland,2012-13,5 years,"10,305","9,551",754,"1,921","1,794",127,,,,,
QLD,PHN301,Brisbane North,2013-14,2 years,"11,860","11,113",747,432,404,28,,,,,
QLD,PHN301,Brisbane North,2014-15,5 years,"12,301","11,446",855,389,364,25,,,,,
QLD,PHN307,Northern Queensland,2013-14,2 years,"9,902","9,312",590,"1,935","1,816",119,,,,,
QLD,PHN302,Brisbane South,2015-16,5 years,"15,441","14,250","1,191",534,502,32,,,,,
QLD,PHN303,Gold Coast,2012-13,5 years,"6,934","6,190",744,147,139,8,,,,,
QLD,PHN305,Western Queensland,2012-13,5 years,"1,219","1,123",96,375,355,20,,,,,
QLD,PHN303,Gold Coast,2013-14,2 years,"6,888","6,315",573,188,178,10,,,,,
QLD,PHN302,Brisbane South,2016-17,5 years,"15,500","14,484","1,016",569,539,30,,,,,
QLD,PHN303,Gold Coast,2012-13,2 years,"6,736","6,176",560,133,126,7,,,,,
QLD,PHN307,Northern Queensland,2013-14,5 years,"10,187","9,490",697,"1,930","1,830",100,,,,,
QLD,PHN307,Northern Queensland,2014-15,5 years,"10,004","9,370",634,"1,884","1,790",94,,,,,
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2016-17,5 years,"10,614","9,905",709,806,767,39,,,,,
QLD,PHN307,Northern Queensland,2012-13,2 years,"9,952","9,355",597,"1,940","1,849",91,,,,,
QLD,PHN303,Gold Coast,2016-17,5 years,"7,577","6,983",594,199,190,9,,,,,
QLD,PHN305,Western Queensland,2016-17,5 years,"1,082","1,028",54,339,324,15,,,,,
QLD,PHN303,Gold Coast,2014-15,5 years,"7,397","6,707",690,183,175,8,,,,,
QLD,PHN303,Gold Coast,2013-14,5 years,"7,233","6,514",719,163,156,7,,,,,
QLD,PHN305,Western Queensland,2013-14,2 years,"1,204","1,143",61,378,362,16,,,,,
QLD,PHN301,Brisbane North,2013-14,5 years,"12,267","11,377",890,379,364,15,,,,,
QLD,PHN307,Northern Queensland,2015-16,5 years,"10,022","9,433",589,"1,971","1,893",78,,,,,
QLD,PHN304,Darling Downs and West Moreton,2016-17,5 years,"8,347","7,916",431,724,697,27,,,,,
QLD,PHN301,Brisbane North,2016-17,5 years,"12,645","11,918",727,505,488,17,,,,,
QLD,PHN307,Northern Queensland,2016-17,5 years,"9,808","9,315",493,"1,894","1,843",51,,,,,
QLD,PHN303,Gold Coast,2015-16,5 years,"7,287","6,616",671,NP,NP,NP,,,,,
SA,PHN401,Adelaide,2012-13,1 year,"14,299","13,027","1,272",400,303,97,,,,,
SA,PHN402,Country SA,2012-13,1 year,"5,612","5,141",471,368,288,80,,,,,
SA,PHN401,Adelaide,2013-14,1 year,"14,729","13,262","1,467",417,327,90,,,,,
SA,PHN402,Country SA,2013-14,1 year,"5,548","5,017",531,374,303,71,,,,,
SA,PHN401,Adelaide,2014-15,2 years,"14,656","12,865","1,791",414,342,72,,,,,
SA,PHN402,Country SA,2014-15,2 years,"5,562","4,905",657,367,307,60,,,,,
SA,PHN401,Adelaide,2015-16,2 years,"14,356","12,980","1,376",430,364,66,,,,,
SA,PHN401,Adelaide,2013-14,2 years,"14,243","13,096","1,147",420,357,63,,,,,
SA,PHN401,Adelaide,2013-14,5 years,"14,278","12,911","1,367",418,356,62,,,,,
SA,PHN401,Adelaide,2012-13,2 years,"14,035","12,941","1,094",416,355,61,,,,,
SA,PHN402,Country SA,2015-16,2 years,"5,613","5,094",519,402,348,54,,,,,
SA,PHN401,Adelaide,2012-13,5 years,"14,117","12,766","1,351",336,291,45,,,,,
SA,PHN402,Country SA,2013-14,2 years,"5,638","5,242",396,381,330,51,,,,,
SA,PHN401,Adelaide,2016-17,2 years,"14,532","13,177","1,355",478,418,60,,,,,
SA,PHN401,Adelaide,2014-15,1 year,"14,539","13,227","1,312",436,384,52,,,,,
SA,PHN402,Country SA,2012-13,5 years,"6,077","5,588",489,338,299,39,,,,,
SA,PHN402,Country SA,2012-13,2 years,"5,491","5,138",353,334,296,38,,,,,
SA,PHN402,Country SA,2014-15,1 year,"5,565","5,101",464,407,361,46,,,,,
SA,PHN402,Country SA,2013-14,5 years,"6,080","5,622",458,363,322,41,,,,,
SA,PHN402,Country SA,2016-17,2 years,"5,409","4,954",455,383,341,42,,,,,
SA,PHN401,Adelaide,2014-15,5 years,"14,339","12,982","1,357",386,344,42,,,,,
SA,PHN401,Adelaide,2016-17,1 year,"14,577","13,667",910,484,435,49,,,,,
SA,PHN401,Adelaide,2015-16,1 year,"14,485","13,432","1,053",454,410,44,,,,,
SA,PHN402,Country SA,2014-15,5 years,"5,951","5,455",496,350,317,33,,,,,
SA,PHN402,Country SA,2015-16,1 year,"5,349","5,012",337,376,343,33,,,,,
SA,PHN401,Adelaide,2016-17,5 years,"14,736","13,762",974,449,412,37,,,,,
SA,PHN401,Adelaide,2015-16,5 years,"14,342","13,173","1,169",437,405,32,,,,,
SA,PHN402,Country SA,2016-17,1 year,"5,272","5,004",268,390,364,26,,,,,
SA,PHN402,Country SA,2016-17,5 years,"5,872","5,508",364,416,398,18,,,,,
SA,PHN402,Country SA,2015-16,5 years,"5,770","5,389",381,358,343,15,,,,,
TAS,PHN601,Tasmania,2014-15,2 years,"5,889","5,155",734,422,355,67,,,,,
TAS,PHN601,Tasmania,2014-15,1 year,"5,971","5,417",554,391,338,53,,,,,
TAS,PHN601,Tasmania,2013-14,1 year,"5,940","5,334",606,414,360,54,,,,,
TAS,PHN601,Tasmania,2015-16,2 years,"5,953","5,402",551,401,361,40,,,,,
TAS,PHN601,Tasmania,2012-13,1 year,"6,105","5,627",478,381,344,37,,,,,
TAS,PHN601,Tasmania,2016-17,2 years,"5,868","5,375",493,476,433,43,,,,,
TAS,PHN601,Tasmania,2014-15,5 years,"6,385","5,914",471,419,388,31,,,,,
TAS,PHN601,Tasmania,2013-14,5 years,"6,520","6,045",475,412,382,30,,,,,
TAS,PHN601,Tasmania,2013-14,2 years,"6,108","5,689",419,417,387,30,,,,,
TAS,PHN601,Tasmania,2016-17,1 year,"5,739","5,378",361,419,389,30,,,,,
TAS,PHN601,Tasmania,2012-13,5 years,"6,545","6,081",464,460,431,29,,,,,
TAS,PHN601,Tasmania,2015-16,1 year,"5,790","5,414",376,451,425,26,,,,,
TAS,PHN601,Tasmania,2012-13,2 years,"6,092","5,744",348,365,344,21,,,,,
TAS,PHN601,Tasmania,2015-16,5 years,"6,229","5,841",388,396,378,18,,,,,
TAS,PHN601,Tasmania,2016-17,5 years,"6,222","5,849",373,470,449,21,,,,,
VIC,PHN202,Eastern Melbourne,2014-15,2 years,"17,607","15,838","1,769",135,110,25,,,,,
VIC,PHN204,Gippsland,2014-15,1 year,"3,169","2,924",245,138,113,25,,,,,
VIC,PHN202,Eastern Melbourne,2013-14,1 year,"17,270","15,721","1,549",131,110,21,,,,,
VIC,PHN201,North Western Melbourne,2012-13,1 year,"21,698","19,750","1,948",165,139,26,,,,,
VIC,PHN203,South Eastern Melbourne,2014-15,1 year,"18,637","16,911","1,726",162,137,25,,,,,
VIC,PHN201,North Western Melbourne,2015-16,2 years,"23,209","20,981","2,228",256,217,39,,,,,
VIC,PHN201,North Western Melbourne,2014-15,2 years,"23,092","20,560","2,532",232,198,34,,,,,
VIC,PHN204,Gippsland,2014-15,2 years,"3,183","2,907",276,112,96,16,,,,,
VIC,PHN202,Eastern Melbourne,2012-13,1 year,"16,706","15,332","1,374",108,93,15,,,,,
VIC,PHN206,Western Victoria,2015-16,2 years,"7,394","6,847",547,182,157,25,,,,,
VIC,PHN204,Gippsland,2013-14,1 year,"3,157","2,894",263,104,90,14,,,,,
VIC,PHN201,North Western Melbourne,2013-14,1 year,"23,041","20,793","2,248",231,200,31,,,,,
VIC,PHN204,Gippsland,2015-16,2 years,"3,176","2,939",237,122,106,16,,,,,
VIC,PHN204,Gippsland,2016-17,2 years,"3,159","2,956",203,123,107,16,,,,,
VIC,PHN202,Eastern Melbourne,2014-15,1 year,"17,170","15,730","1,440",157,137,20,,,,,
VIC,PHN204,Gippsland,2016-17,1 year,"3,186","3,022",164,127,111,16,,,,,
VIC,PHN201,North Western Melbourne,2014-15,1 year,"23,100","20,941","2,159",265,232,33,,,,,
VIC,PHN201,North Western Melbourne,2013-14,2 years,"21,725","20,002","1,723",177,155,22,,,,,
VIC,PHN206,Western Victoria,2013-14,1 year,"7,398","6,793",605,175,154,21,,,,,
VIC,PHN203,South Eastern Melbourne,2015-16,2 years,"18,920","17,114","1,806",167,147,20,,,,,
VIC,PHN206,Western Victoria,2014-15,1 year,"7,292","6,742",550,168,148,20,,,,,
VIC,PHN203,South Eastern Melbourne,2012-13,1 year,"18,133","16,527","1,606",118,104,14,,,,,
VIC,PHN203,South Eastern Melbourne,2013-14,1 year,"18,686","16,920","1,766",128,113,15,,,,,
VIC,PHN203,South Eastern Melbourne,2016-17,2 years,"19,475","17,673","1,802",138,122,16,,,,,
VIC,PHN206,Western Victoria,2014-15,2 years,"7,420","6,774",646,166,147,19,,,,,
VIC,PHN203,South Eastern Melbourne,2014-15,5 years,"18,818","17,325","1,493",113,101,12,,,,,
VIC,PHN206,Western Victoria,2015-16,5 years,"7,610","7,170",440,132,118,14,,,,,
VIC,PHN201,North Western Melbourne,2013-14,5 years,"20,375","18,841","1,534",170,152,18,,,,,
VIC,PHN206,Western Victoria,2016-17,5 years,"7,814","7,461",353,206,185,21,,,,,
VIC,PHN204,Gippsland,2012-13,1 year,"3,141","2,919",222,108,97,11,,,,,
VIC,PHN202,Eastern Melbourne,2012-13,2 years,"16,663","15,474","1,189",69,62,7,#,,,,
VIC,PHN202,Eastern Melbourne,2015-16,2 years,"17,514","15,965","1,549",139,125,14,,,,,
VIC,PHN201,North Western Melbourne,2014-15,5 years,"21,108","19,533","1,575",209,188,21,,,,,
VIC,PHN203,South Eastern Melbourne,2014-15,2 years,"18,913","16,827","2,086",130,117,13,,,,,
VIC,PHN206,Western Victoria,2016-17,1 year,"7,498","7,131",367,261,235,26,,,,,
VIC,PHN201,North Western Melbourne,2012-13,5 years,"20,013","18,490","1,523",153,138,15,,,,,
VIC,PHN201,North Western Melbourne,2015-16,1 year,"23,607","21,843","1,764",287,259,28,,,,,
VIC,PHN203,South Eastern Melbourne,2012-13,2 years,"17,989","16,709","1,280",73,66,7,#,,,,
VIC,PHN206,Western Victoria,2013-14,5 years,"7,835","7,331",504,146,132,14,,,,,
VIC,PHN206,Western Victoria,2016-17,2 years,"7,650","7,124",526,261,236,25,,,,,
VIC,PHN202,Eastern Melbourne,2013-14,2 years,"17,094","15,804","1,290",115,104,11,,,,,
VIC,PHN202,Eastern Melbourne,2015-16,1 year,"17,324","16,164","1,160",159,144,15,,,,,
VIC,PHN202,Eastern Melbourne,2013-14,5 years,"17,527","16,193","1,334",96,87,9,#,,,,
VIC,PHN206,Western Victoria,2014-15,5 years,"7,923","7,405",518,124,113,11,,,,,
VIC,PHN202,Eastern Melbourne,2014-15,5 years,"17,799","16,454","1,345",115,105,10,,,,,
VIC,PHN202,Eastern Melbourne,2016-17,1 year,"17,338","16,347",991,207,189,18,,,,,
VIC,PHN204,Gippsland,2015-16,1 year,"3,087","2,912",175,120,110,10,,,,,
VIC,PHN201,North Western Melbourne,2016-17,2 years,"24,077","21,723","2,354",292,269,23,,,,,
VIC,PHN203,South Eastern Melbourne,2013-14,2 years,"18,290","16,949","1,341",117,108,9,,,,,
VIC,PHN202,Eastern Melbourne,2012-13,5 years,"17,325","15,949","1,376",92,85,7,#,,,,
VIC,PHN201,North Western Melbourne,2016-17,1 year,"24,394","22,687","1,707",387,358,29,,,,,
VIC,PHN202,Eastern Melbourne,2015-16,5 years,"17,699","16,496","1,203",134,124,10,,,,,
VIC,PHN203,South Eastern Melbourne,2012-13,5 years,"18,668","17,201","1,467",108,100,8,,,,,
VIC,PHN203,South Eastern Melbourne,2016-17,1 year,"19,616","18,405","1,211",149,138,11,,,,,
VIC,PHN206,Western Victoria,2012-13,1 year,"7,304","6,816",488,146,136,10,,,,,
VIC,PHN203,South Eastern Melbourne,2015-16,1 year,"19,155","17,741","1,414",132,123,9,,,,,
VIC,PHN206,Western Victoria,2012-13,2 years,"7,250","6,866",384,133,124,9,,,,,
VIC,PHN204,Gippsland,2012-13,2 years,"3,219","3,072",147,90,84,6,#,,,,
VIC,PHN201,North Western Melbourne,2016-17,5 years,"22,837","21,356","1,481",258,241,17,,,,,
VIC,PHN204,Gippsland,2014-15,5 years,"3,377","3,158",219,109,102,7,,,,,
VIC,PHN201,North Western Melbourne,2012-13,2 years,"20,971","19,423","1,548",144,135,9,,,,,
VIC,PHN206,Western Victoria,2015-16,1 year,"7,420","6,975",445,225,211,14,,,,,
VIC,PHN202,Eastern Melbourne,2016-17,2 years,"17,890","16,318","1,572",166,156,10,,,,,
VIC,PHN203,South Eastern Melbourne,2015-16,5 years,"18,832","17,438","1,394",100,94,6,#,,,,
VIC,PHN204,Gippsland,2013-14,5 years,"3,388","3,166",222,101,95,6,,,,,
VIC,PHN204,Gippsland,2015-16,5 years,"3,411","3,239",172,109,103,6,,,,,
VIC,PHN206,Western Victoria,2013-14,2 years,"7,336","6,939",397,148,140,8,,,,,
VIC,PHN203,South Eastern Melbourne,2016-17,5 years,"19,479","18,230","1,249",120,114,6,,,,,
VIC,PHN201,North Western Melbourne,2015-16,5 years,"21,751","20,280","1,471",207,198,9,,,,,
VIC,PHN203,South Eastern Melbourne,2013-14,5 years,"18,337","16,807","1,530",NP,NP,NP,#,,,,
VIC,PHN206,Western Victoria,2012-13,5 years,"7,833","7,344",489,NP,NP,NP,,,,,
VIC,PHN202,Eastern Melbourne,2016-17,5 years,"18,287","17,169","1,118",NP,NP,NP,,,,,
VIC,PHN204,Gippsland,2012-13,5 years,"3,441","3,241",200,NP,NP,NP,,,,,
VIC,PHN204,Gippsland,2013-14,2 years,"3,149","2,972",177,NP,NP,NP,#,,,,
VIC,PHN204,Gippsland,2016-17,5 years,"3,356","3,212",144,NP,NP,NP,,,,,
VIC/NSW,PHN205,Murray,2014-15,2 years,"7,347","6,614",733,345,283,62,,,,,
VIC/NSW,PHN205,Murray,2012-13,1 year,"7,147","6,579",568,321,270,51,,,,,
VIC/NSW,PHN205,Murray,2013-14,1 year,"7,327","6,668",659,352,297,55,,,,,
VIC/NSW,PHN205,Murray,2014-15,1 year,"7,396","6,770",626,366,313,53,,,,,
VIC/NSW,PHN205,Murray,2012-13,5 years,"7,712","7,146",566,285,247,38,,,,,
VIC/NSW,PHN205,Murray,2016-17,2 years,"7,371","6,769",602,485,425,60,,,,,
VIC/NSW,PHN205,Murray,2015-16,2 years,"7,354","6,777",577,376,333,43,,,,,
VIC/NSW,PHN205,Murray,2015-16,1 year,"7,197","6,695",502,483,428,55,,,,,
VIC/NSW,PHN205,Murray,2016-17,1 year,"7,177","6,760",417,534,479,55,,,,,
VIC/NSW,PHN205,Murray,2013-14,2 years,"7,266","6,797",469,330,297,33,,,,,
VIC/NSW,PHN205,Murray,2013-14,5 years,"7,643","7,125",518,304,277,27,,,,,
VIC/NSW,PHN205,Murray,2012-13,2 years,"7,237","6,787",450,335,306,29,,,,,
VIC/NSW,PHN205,Murray,2014-15,5 years,"7,701","7,198",503,276,259,17,,,,,
VIC/NSW,PHN205,Murray,2016-17,5 years,"7,662","7,296",366,388,367,21,,,,,
VIC/NSW,PHN205,Murray,2015-16,5 years,"7,587","7,143",444,346,330,16,,,,,
WA,PHN501,Perth North,2012-13,1 year,"13,007","11,814","1,193",305,225,80,,,,,
WA,PHN501,Perth North,2013-14,1 year,"13,540","12,230","1,310",329,244,85,,,,,
WA,PHN502,Perth South,2014-15,1 year,"13,263","12,026","1,237",453,341,112,,,,,
WA,PHN501,Perth North,2015-16,1 year,"13,697","12,687","1,010",370,281,89,,,,,
WA,PHN502,Perth South,2015-16,2 years,"13,279","11,789","1,490",474,360,114,,,,,
WA,PHN501,Perth North,2014-15,2 years,"13,625","11,862","1,763",345,265,80,,,,,
WA,PHN502,Perth South,2013-14,1 year,"13,086","11,692","1,394",420,323,97,,,,,
WA,PHN502,Perth South,2012-13,1 year,"12,492","11,153","1,339",430,332,98,,,,,
WA,PHN501,Perth North,2015-16,2 years,"13,439","12,052","1,387",363,291,72,,,,,
WA,PHN501,Perth North,2014-15,1 year,"13,406","12,314","1,092",346,278,68,,,,,
WA,PHN502,Perth South,2014-15,2 years,"13,207","11,534","1,673",465,374,91,,,,,
WA,PHN502,Perth South,2016-17,2 years,"13,656","12,213","1,443",537,434,103,,,,,
WA,PHN502,Perth South,2015-16,1 year,"13,498","12,458","1,040",480,389,91,,,,,
WA,PHN501,Perth North,2016-17,2 years,"13,754","12,353","1,401",375,307,68,,,,,
WA,PHN501,Perth North,2013-14,5 years,"13,490","12,024","1,466",337,277,60,,,,,
WA,PHN503,Country WA,2012-13,1 year,"7,236","6,520",716,"1,167",964,203,,,,,
WA,PHN501,Perth North,2012-13,5 years,"13,228","11,795","1,433",338,282,56,,,,,
WA,PHN501,Perth North,2013-14,2 years,"13,236","12,034","1,202",316,264,52,,,,,
WA,PHN502,Perth South,2012-13,5 years,"12,447","11,024","1,423",404,338,66,,,,,
WA,PHN501,Perth North,2016-17,1 year,"13,846","12,890",956,378,321,57,,,,,
WA,PHN503,Country WA,2016-17,2 years,"7,344","6,678",666,"1,209","1,032",177,,,,,
WA,PHN502,Perth South,2016-17,1 year,"13,645","12,691",954,507,433,74,,,,,
WA,PHN501,Perth North,2012-13,2 years,"12,955","11,677","1,278",313,269,44,,,,,
WA,PHN503,Country WA,2014-15,2 years,"7,449","6,658",791,"1,175","1,014",161,,,,,
WA,PHN502,Perth South,2014-15,5 years,"12,882","11,600","1,282",420,363,57,,,,,
WA,PHN502,Perth South,2012-13,2 years,"12,324","11,088","1,236",439,383,56,,,,,
WA,PHN502,Perth South,2013-14,2 years,"12,868","11,548","1,320",463,405,58,,,,,
WA,PHN503,Country WA,2015-16,1 year,"7,355","6,843",512,"1,206","1,056",150,,,,,
WA,PHN503,Country WA,2013-14,1 year,"7,464","6,798",666,"1,200","1,054",146,,,,,
WA,PHN503,Country WA,2015-16,2 years,"7,242","6,574",668,"1,194","1,052",142,,,,,
WA,PHN503,Country WA,2014-15,1 year,"7,365","6,764",601,"1,214","1,070",144,,,,,
WA,PHN501,Perth North,2014-15,5 years,"13,640","12,312","1,328",329,290,39,,,,,
WA,PHN502,Perth South,2013-14,5 years,"12,541","11,146","1,395",435,387,48,,,,,
WA,PHN502,Perth South,2015-16,5 years,"13,246","12,026","1,220",449,402,47,,,,,
WA,PHN501,Perth North,2015-16,5 years,"13,683","12,396","1,287",335,302,33,,,,,
WA,PHN501,Perth North,2016-17,5 years,"13,663","12,424","1,239",317,287,30,,,,,
WA,PHN503,Country WA,2016-17,1 year,"7,176","6,694",482,"1,243","1,134",109,,,,,
WA,PHN503,Country WA,2012-13,5 years,"7,789","7,107",682,"1,230","1,135",95,,,,,
WA,PHN503,Country WA,2012-13,2 years,"7,380","6,842",538,"1,208","1,119",89,,,,,
WA,PHN502,Perth South,2016-17,5 years,"13,617","12,420","1,197",481,450,31,,,,,
WA,PHN503,Country WA,2014-15,5 years,"7,700","7,087",613,"1,166","1,100",66,,,,,
WA,PHN503,Country WA,2013-14,5 years,"7,570","6,988",582,"1,163","1,099",64,,,,,
WA,PHN503,Country WA,2013-14,2 years,"7,300","6,803",497,"1,179","1,118",61,,,,,
WA,PHN503,Country WA,2015-16,5 years,"7,527","7,046",481,"1,194","1,141",53,,,,,
WA,PHN503,Country WA,2016-17,5 years,"7,347","6,890",457,"1,165","1,119",46,,,,,
